id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_numeric,price_30_days,price_category
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,Palermo,-34.58184,-58.42415,Entire home/apt,"$3,983.00",2,26,2019-11-28,0.27,1,365,3983.0,119490.0,high
12463,Room in Recoleta - awesome location,48799,Matt,Recoleta,-34.59761,-58.39468,Private room,"$1,593.00",1,20,2017-12-11,0.16,1,365,1593.0,47790.0,low
13095,Standard Room at Palermo Viejo B&B,50994,Ariel,Palermo,-34.59382,-58.42994,Private room,"$2,987.00",1,1,2018-12-18,0.06,7,365,2987.0,89610.0,high
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,Palermo,-34.59398,-58.42853,Private room,"$2,987.00",1,0,,0.0,7,365,2987.0,89610.0,high
13097,Standard Room at Palermo Viejo B&B,50994,Ariel,Palermo,-34.59348,-58.42949,Private room,"$2,987.00",1,66,2019-11-27,1.89,7,365,2987.0,89610.0,high
13099,Lofty room in Palermo Viejo B&B,50994,Ariel,Palermo,-34.59362,-58.42984,Private room,"$3,983.00",1,0,,0.0,7,365,3983.0,119490.0,high
13100,Master Room in Palermo Viejo B&B,50994,Ariel,Palermo,-34.59288,-58.4301,Private room,"$4,647.00",1,1,2017-11-23,0.03,7,365,4647.0,139410.0,high
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",55825,Manuel,Palermo,-34.58777,-58.41106,Entire home/apt,"$2,522.00",5,90,2020-03-01,0.95,3,363,2522.0,75660.0,medium
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,Monserrat,-34.60913,-58.37372,Entire home/apt,"$7,965.00",1,0,,0.0,1,365,7965.0,238950.0,high
15074,ROOM WITH RIVER SIGHT,59338,Monica,Núñez,-34.53724,-58.4658,Private room,"$1,991.00",29,0,,0.0,1,365,1991.0,59730.0,medium
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,Balvanera,-34.6029,-58.4114,Private room,"$2,323.00",3,6,2014-06-01,0.06,2,365,2323.0,69690.0,medium
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,Monserrat,-34.61439,-58.37611,Entire home/apt,"$4,315.00",1,46,2019-11-30,0.41,12,364,4315.0,129450.0,high
16696,Duplex Loft en Microcentro Porteño,64880,Elbio Mariano,Monserrat,-34.61494,-58.37517,Entire home/apt,"$3,319.00",1,52,2019-12-06,0.45,12,365,3319.0,99570.0,high
16697,Small Duplex Loft in San Telmo (8),64880,Elbio Mariano,Monserrat,-34.61494,-58.37517,Entire home/apt,"$2,987.00",1,22,2019-04-16,0.2,12,365,2987.0,89610.0,high
17451,A terrace in Buenos Aires,67732,Karen,Belgrano,-34.55811,-58.46462,Private room,"$2,257.00",2,0,,0.0,1,87,2257.0,67710.0,medium
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,68689,Maritza,San Nicolás,-34.60175,-58.3786,Entire home/apt,"$2,987.00",3,7,2018-08-01,0.07,2,365,2987.0,89610.0,high
18007,apartament in San Telmo,69404,Marcelo,Monserrat,-34.6154,-58.3778,Entire home/apt,"$23,233.00",1,0,,0.0,1,365,23233.0,696990.0,high
18061,"Quirky, sunny & spacious - 5 px max",69605,Alejandra,San Telmo,-34.61986,-58.36947,Entire home/apt,"$2,987.00",7,144,2019-01-13,1.18,2,207,2987.0,89610.0,high
19583,"Studio in Recoleta , for two people.",74263,Arturo Raul,Recoleta,-34.59593,-58.39257,Entire home/apt,"$2,257.00",2,200,2020-01-19,1.83,1,365,2257.0,67710.0,medium
20062,PENTHOUSE / best city views !! terrace & pool,75891,Sergio,Palermo,-34.58183,-58.44143,Entire home/apt,"$5,974.00",2,222,2020-03-31,1.83,3,233,5974.0,179220.0,high
20429,Hermoso  y acogedor departamento.,77065,Marcelo,Constitución,-34.62108,-58.38677,Entire home/apt,"$2,323.00",15,0,,0.0,1,89,2323.0,69690.0,medium
